"start","end","date","dev_id","ecotone_location","ecotone_location_latitude","ecotone_location_longitude","ecotone_location_altitude","ecotone_location_precision","ecotone_location_wkt","ecotone_image","notes","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by"
2024-04-27 10:41:55.775,2024-04-27 14:31:45.875,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9315587 36.7337655 1773.8281169435131 4.227",0.9315587,36.7337655,1773.82811694351,4.227,"POINT (36.7337655 0.9315587 1773.8281169435131)","1714214545699.jpg","River",333827973,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:90ac06ed-220d-4419-8fe3-d3c79fdae5f0","a4E8PDPfBLNHwfgjV8obmT","90ac06ed-220d-4419-8fe3-d3c79fdae5f0","submitted_via_web",2024-04-27 14:36:05,,"dtra_nk"
2024-04-27 10:42:33.921,2024-04-27 14:31:50.062,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9318845 36.7357436 1778.9940093688554 4.802",0.9318845,36.7357436,1778.99400936886,4.802,"POINT (36.7357436 0.9318845 1778.9940093688554)","1714214607487.jpg","Farms",333827990,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:4154b2ff-ac05-49f7-b821-ee51275f580d","a4E8PDPfBLNHwfgjV8obmT","4154b2ff-ac05-49f7-b821-ee51275f580d","submitted_via_web",2024-04-27 14:36:07,,"dtra_nk"
2024-04-27 10:44:23.129,2024-04-27 14:31:53.467,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9322657 36.7385119 1779.5480485632302 4.969",0.9322657,36.7385119,1779.54804856323,4.969,"POINT (36.7385119 0.9322657 1779.5480485632302)","1714214698947.jpg","Cactus and a troop of baboons,mongoose and rodents",333827999,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:f881fcce-8643-446c-881a-945bfce5d46b","a4E8PDPfBLNHwfgjV8obmT","f881fcce-8643-446c-881a-945bfce5d46b","submitted_via_web",2024-04-27 14:36:09,,"dtra_nk"
2024-04-27 10:57:24.807,2024-04-27 14:31:56.896,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9565944 36.7570004 1797.2219523291358 4.048",0.9565944,36.7570004,1797.22195232914,4.048,"POINT (36.7570004 0.9565944 1797.2219523291358)","1714215469022.jpg","Shrubs",333828022,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:738c4006-804d-4547-81d0-6dbb77206aef","a4E8PDPfBLNHwfgjV8obmT","738c4006-804d-4547-81d0-6dbb77206aef","submitted_via_web",2024-04-27 14:36:13,,"dtra_nk"
2024-04-29 12:23:57.014,2024-04-29 20:58:51.213,2024-04-29,"collect:Ko3jwT6G31vuAcKR","0.9493289 36.7639574 1789.2294570562383 4.902",0.9493289,36.7639574,1789.22945705624,4.902,"POINT (36.7639574 0.9493289 1789.2294570562383)","1714393482457.jpg","Marshland",334427805,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:78745602-1e05-4683-a39f-174484f64b7f","a4E8PDPfBLNHwfgjV8obmT","78745602-1e05-4683-a39f-174484f64b7f","submitted_via_web",2024-04-29 20:58:57,,"dtra_nk"
2024-04-29 11:10:31.328,2024-04-29 20:57:28.97,2024-04-29,"collect:Ko3jwT6G31vuAcKR","0.9479117 36.7454088 1790.0242321378364 4.197",0.9479117,36.7454088,1790.02423213784,4.197,"POINT (36.7454088 0.9479117 1790.0242321378364)","1714389064790.jpg","Marsh",334427807,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:fa1e6dff-fe4a-4ba2-9255-f46c77867aeb","a4E8PDPfBLNHwfgjV8obmT","fa1e6dff-fe4a-4ba2-9255-f46c77867aeb","submitted_via_web",2024-04-29 20:58:59,,"dtra_nk"
2024-04-30 07:03:46.922,2024-04-30 19:01:30.535,2024-04-30,"collect:Ko3jwT6G31vuAcKR","0.9458573 36.7420857 1781.708734248726 4.918",0.9458573,36.7420857,1781.70873424873,4.918,"POINT (36.7420857 0.9458573 1781.708734248726)","1714460663053.jpg","Grassland",334754100,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:8e82011e-ea68-475b-9db5-0819448f2249","a4E8PDPfBLNHwfgjV8obmT","8e82011e-ea68-475b-9db5-0819448f2249","submitted_via_web",2024-04-30 19:01:42,,"dtra_nk"
2024-05-20 10:12:15.076,2024-05-20 17:12:05.199,2024-05-20,"collect:Ko3jwT6G31vuAcKR","1.6401744 37.3839206 633.067005644237 4.201",1.6401744,37.3839206,633.067005644237,4.201,"POINT (37.3839206 1.6401744 633.067005644237)","1716199970959.jpg","Acacia trees",340974277,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:870d982e-6f4c-4cf4-b084-a55c02fb974d","a4E8PDPfBLNHwfgjV8obmT","870d982e-6f4c-4cf4-b084-a55c02fb974d","submitted_via_web",2024-05-20 17:12:17,,"dtra_nk"
2024-05-20 11:20:58.893,2024-05-20 17:12:48.336,2024-05-20,"collect:Ko3jwT6G31vuAcKR","1.6714413 37.3520085 674.7660690262345 4.668",1.6714413,37.3520085,674.766069026235,4.668,"POINT (37.3520085 1.6714413 674.7660690262345)","1716204081676.jpg","Shrubs",340974398,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:f1e641f0-9d40-49cb-845c-0e3c2f126689","a4E8PDPfBLNHwfgjV8obmT","f1e641f0-9d40-49cb-845c-0e3c2f126689","submitted_via_web",2024-05-20 17:12:54,,"dtra_nk"
2024-05-20 11:21:59.945,2024-05-20 17:15:14.683,2024-05-20,"collect:Ko3jwT6G31vuAcKR","1.6715846 37.3522891 673.9644470833285 3.872",1.6715846,37.3522891,673.964447083329,3.872,"POINT (37.3522891 1.6715846 673.9644470833285)","1716204147243.jpg","Shrubs",340975069,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:1b1e1505-02b0-4c3f-ac82-5021fc638e6f","a4E8PDPfBLNHwfgjV8obmT","1b1e1505-02b0-4c3f-ac82-5021fc638e6f","submitted_via_web",2024-05-20 17:15:49,,"dtra_nk"
