"start","end","date","dev_id","enumerator","enumerator_other","seca_S_id","seca_S_id_m","gps","X_gps_latitude","X_gps_longitude","X_gps_altitude","X_gps_precision","secb_aclass","secc_aweight","secd_max_blood","secd_blood_per_tube","secd_multiply_pipette","secd_MOD","secd_full_reagent","secd_blood_note_low","secd_blood_note_med","secd_blood_note_high","secd_blood_note_rodent","secc_species","secc_age","secc_sex","secc_preg","secc_lact","secc_cond","secc_clinical","secc_ph_cs","secc_ph_cs_URL","secc_suspect","secc_disease","sece_bcs","sece_m_bl","sece_m_el","sece_m_hf","sece_m_tail","sece_ph_fb","sece_ph_fb_URL","sece_ph_af","sece_ph_af_URL","sece_ph_lf","sece_ph_lf_URL","sece_euth","secd_ectoparasites","secd_ectoparasites_id","secd_ectoparasites_id_m","secd_edta_1","secd_edta_1_m","secd_edta_2","secd_edta_2_m","secd_serum","secd_serum_m","secg_comments","X_id","X_uuid","X_submission_time","X_validation_status","X_notes","X_status","X_submitted_by","X__version__","X_tags","X_index"
"2024-04-27T09:03:12.825+03:00","2024-04-27T17:35:21.132+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR",1,,"DST030001",,"0.9646695 36.6849182 1812.1551177534313 4.474",0.9646695,36.6849182,1812.15511775343,4.474,3,19,190,63.3333333333333,4.22222222222222,4,600,,,,,1,2,3,,,1,,,,2,,3,,,,,,,"1714198689955.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fbde66d5f-9248-4b24-85f0-2582188ec006%2F1714198689955.jpg","1714198703985.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fbde66d5f-9248-4b24-85f0-2582188ec006%2F1714198703985.jpg",2,0,,,"DDT000049",,,"DDT000000","DSR000020",,"The second EDTA not collected",333828398,"bde66d5f-9248-4b24-85f0-2582188ec006","2024-04-27T14:37:36",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,11
"2024-04-27T09:20:25.888+03:00","2024-04-27T17:34:08.904+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR",1,,"DST030001",,"0.9646619 36.6849332 1809.6409032976792 4.851",0.9646619,36.6849332,1809.64090329768,4.851,3,22,220,73.3333333333333,4.88888888888889,4,600,,,,,1,2,3,,,1,,,,2,,3,,,,,,,"1714199677377.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F5fbbe75e-ea17-42aa-a67b-2e9051764eee%2F1714199677377.jpg","1714199727749.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F5fbbe75e-ea17-42aa-a67b-2e9051764eee%2F1714199727749.jpg",2,0,,,"DDT000051",,,"DDT000000","DSR000021",,"Second EDTA not collected",333828443,"5fbbe75e-ea17-42aa-a67b-2e9051764eee","2024-04-27T14:37:45",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,12
"2024-04-27T09:37:26.351+03:00","2024-04-27T17:34:12.353+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR",1,,"DST030001",,"0.9646544 36.6849386 1810.5796545578692 4.988",0.9646544,36.6849386,1810.57965455787,4.988,3,22,220,73.3333333333333,4.88888888888889,4,600,,,,,1,2,3,,,1,,,,2,,3,,,,,,,"1714200678398.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F67b5b71e-a7db-4899-a928-d35a5e80b6a8%2F1714200678398.jpg","1714200739632.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F67b5b71e-a7db-4899-a928-d35a5e80b6a8%2F1714200739632.jpg",2,0,,,"DDT000052",,,"DDT000000","DSR000009",,"Never got the second EDTA",333829490,"67b5b71e-a7db-4899-a928-d35a5e80b6a8","2024-04-27T14:41:18",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,13
"2024-04-27T09:55:54.367+03:00","2024-04-27T17:34:16.120+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR",2,,"DST030001",,"0.9646754 36.6849484 1811.9831953206517 4.343",0.9646754,36.6849484,1811.98319532065,4.343,3,22,220,73.3333333333333,4.88888888888889,4,600,,,,,1,2,3,,,1,,,,2,,3,,,,,,,"1714201762420.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb53c7b13-3b16-438c-ab2b-28a7110b2b3a%2F1714201762420.jpg","1714201994465.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb53c7b13-3b16-438c-ab2b-28a7110b2b3a%2F1714201994465.jpg",2,0,,,"DDT000048",,,"DDT000000","DSR000017",,"Second EDTA not collected",333829509,"b53c7b13-3b16-438c-ab2b-28a7110b2b3a","2024-04-27T14:41:20",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,14
"2024-04-27T10:16:45.553+03:00","2024-04-27T17:34:19.770+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR",2,,"DST030001",,"0.9646712 36.684925 1804.096006939616 4.657",0.9646712,36.684925,1804.09600693962,4.657,3,97,970,323.333333333333,21.5555555555556,21,3150,,,,,1,2,3,,,1,,,,2,,3,,,,,,,"1714203019129.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fce37e8af-ff33-4b3c-a36e-12073b2ea062%2F1714203019129.jpg","1714203126577.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fce37e8af-ff33-4b3c-a36e-12073b2ea062%2F1714203126577.jpg",2,0,,,"DDT000053",,"DDT000050",,"DSR000015",,"No comment",333829527,"ce37e8af-ff33-4b3c-a36e-12073b2ea062","2024-04-27T14:41:23",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,15
"2024-04-28T09:17:02.483+03:00","2024-04-29T00:56:16.699+03:00","2024-04-28","collect:Ko3jwT6G31vuAcKR",1,,"DST030004",,"0.9304225 36.6941712 1783.662542490258 4.108",0.9304225,36.6941712,1783.66254249026,4.108,3,72,720,240,16,16,2400,,,,,520,2,3,,,1,,,,2,,3,,,,,,,"1714286391273.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F82c45c9b-6cea-4fb3-a578-69c8cd1ea0aa%2F1714286391273.jpg","1714286406967.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F82c45c9b-6cea-4fb3-a578-69c8cd1ea0aa%2F1714286406967.jpg",2,0,,,,"DDT000000",,"DDT000000","DSR000003",,"EDTA 1 and 2 not collected",334110358,"82c45c9b-6cea-4fb3-a578-69c8cd1ea0aa","2024-04-28T21:56:22",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,16
"2024-04-28T09:41:40.495+03:00","2024-04-29T00:56:52.473+03:00","2024-04-28","collect:Ko3jwT6G31vuAcKR",1,,"DST030004",,"0.9304411 36.6941806 1787.468189488729 4.76",0.9304411,36.6941806,1787.46818948873,4.76,3,72,720,240,16,16,2400,,,,,520,2,3,,,1,,,,2,,3,,,,,,,"1714287724629.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F6b511bd4-72d0-4a93-a242-91787e1c9d27%2F1714287724629.jpg","1714287737004.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F6b511bd4-72d0-4a93-a242-91787e1c9d27%2F1714287737004.jpg",2,0,,,"DDT000096",,"DDT000044",,"DSR000005",,"None",334110499,"6b511bd4-72d0-4a93-a242-91787e1c9d27","2024-04-28T21:56:58",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,17
"2024-04-28T10:06:25.639+03:00","2024-04-29T00:57:27.468+03:00","2024-04-28","collect:Ko3jwT6G31vuAcKR",1,,"DST030004",,"0.9304233 36.6941577 1785.7903879426303 4.567",0.9304233,36.6941577,1785.79038794263,4.567,3,70,700,233.333333333333,15.5555555555556,15,2250,,,,,520,3,3,,,1,,,,2,,3,,,,,,,"1714288861521.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F94b703ce-1fa4-481e-a3bc-dbb0c832b24a%2F1714288861521.jpg","1714288894717.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F94b703ce-1fa4-481e-a3bc-dbb0c832b24a%2F1714288894717.jpg",2,0,,,"DDT000045",,"DDT000047",,"DSR000016",,"No comment",334110615,"94b703ce-1fa4-481e-a3bc-dbb0c832b24a","2024-04-28T21:57:33",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,18
"2024-04-28T10:24:13.694+03:00","2024-04-29T00:58:01.809+03:00","2024-04-28","collect:Ko3jwT6G31vuAcKR",2,,"DST030004",,"0.9303996 36.6941492 1786.3717256742361 4.808",0.9303996,36.6941492,1786.37172567424,4.808,3,62,620,206.666666666667,13.7777777777778,13,1950,,,,,520,3,3,,,1,,,,2,,3,,,,,,,"1714289813405.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F1723228e-ed90-4e2a-8bda-5f7f2bc507dd%2F1714289813405.jpg","1714289906631.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F1723228e-ed90-4e2a-8bda-5f7f2bc507dd%2F1714289906631.jpg",2,0,,,"DDT000097",,"DDT000098",,"DSR000018",,"No comment",334110697,"1723228e-ed90-4e2a-8bda-5f7f2bc507dd","2024-04-28T21:58:06",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,19
"2024-04-29T14:20:16.639+03:00","2024-05-15T08:23:22.806+03:00","2024-04-29","collect:W7gdBJ4Ypb4GvukP",2,,"DST030004",,"0.9304639 36.6942155 1786.9614265790185 3.9",0.9304639,36.6942155,1786.96142657902,3.9,1,7,70,23.3333333333333,1.55555555555556,1,150,,,,,4,3,1,,,1,,,,2,,4,131,10,16,67,"1714401154485.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb6734c77-e3ca-437e-b834-4555f929b023%2F1714401154485.jpg","1714401171500.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb6734c77-e3ca-437e-b834-4555f929b023%2F1714401171500.jpg","1714401202364.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb6734c77-e3ca-437e-b834-4555f929b023%2F1714401202364.jpg",1,0,,,"DDT000065",,"DDT000066",,,"DSR111119","EDTA samples are in the ratio of 1:3 blood:RNA/DNA shield",334406078,"e6551fa2-1192-4274-a893-d2d19aed109f","2024-04-29T19:27:54",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,20
