"start","end","date","dev_id","enumerator","language","county","ward","hh_id","livestock_species","sex","cattle_age","camel_age","sheep_age","goat_age","donkey_age","rabbit_age","chicken_age","cattle_breed","camel_breed","sheep_breed","goat_breed","rabbit_breed","chicken_breed","bcs_cattle","bcs","body_temp","Serum_blood_parentID","EDTA_blood_aliquot1","EDTA_blood_aliquot2","short_term_selected","gps_logger_id","long_term_selected","ceres_tag_vid","female_syndromes","female_syndromes_still_birth","female_syndromes_abortion","female_syndromes_retained_placenta","female_syndromes_weak_calf_kid_lamb","female_syndromes_failed_to_conceive","female_syndromes_none","female_syndromes_dont_know","other_female_syndromes","swollen_joints","male_syndromes","male_syndromes_swollen_testes","male_syndromes_haemorrhage_symptoms","male_syndromes_none","notes","_id","instanceID","rootUuid","deprecatedID","uuid","__version__","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","enumerator_other","sheep_breed_other","camel_breed_other","goat_breed_other"
2024-04-28 05:30:37.865,2024-05-15 06:05:06.954,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","sheep","female",,,"less_than_six_months",,,,,,,"other",,,,,"3",40,"DSR111134","DDT000164","DDT000165","no",,"no",,,,,,,,,,"no","no",,,,,,334086762,"uuid:dd659f13-8b79-4b98-95a2-bc5db79f0f7f","48be1d94-e82c-4128-8245-6032efb8d6b7","uuid:48be1d94-e82c-4128-8245-6032efb8d6b7","0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","dd659f13-8b79-4b98-95a2-bc5db79f0f7f","submitted_via_web",2024-04-28 18:29:41,,"dtra_nk","Daniel","Crossbreed",,
2024-04-28 05:41:57.835,2024-05-15 06:06:04.125,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","sheep","female",,,"over_1yr",,,,,,,"other",,,,,"3",38,"DSR111135","DDT000166","DDT000167","no",,"no",,"none",0,0,0,0,0,1,0,"no","no",,,,,,334086766,"uuid:0d36905e-d2e6-4132-b8ab-ebbf6d251f6c","89e8ebdd-6cc4-4e9f-8ee7-cc17c0378dcc","uuid:89e8ebdd-6cc4-4e9f-8ee7-cc17c0378dcc","0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","0d36905e-d2e6-4132-b8ab-ebbf6d251f6c","submitted_via_web",2024-04-28 18:29:42,,"dtra_nk","Daniel","Crossbreed",,
2024-04-28 05:49:20.206,2024-05-15 06:06:57.853,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","sheep","female",,,"over_1yr",,,,,,,"other",,,,,"3",38,"DSR111136","DDT000168","DDT000181","no",,"no",,"none",0,0,0,0,0,1,0,"yes","no",,,,,"Redness of vulva. Recently mated",334086770,"uuid:f29e2e97-1055-475b-a604-3e33d8d45515","3153954c-1210-4ce9-be0d-93828efd7922","uuid:3153954c-1210-4ce9-be0d-93828efd7922","0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","f29e2e97-1055-475b-a604-3e33d8d45515","submitted_via_web",2024-04-28 18:29:43,,"dtra_nk","Daniel","Crossbreed",,
2024-04-28 06:04:14.15,2024-04-28 18:25:07.414,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","cattle","male","six_months_to_year_calf",,,,,,,"cross_breed",,,,,,"7",,38,"DSR000057","DDT000182","DDT000183","no",,"no",,,,,,,,,,,"no","none",0,0,1,,334086775,"uuid:b2554558-c642-4218-a251-3f0a7e769a2b",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","b2554558-c642-4218-a251-3f0a7e769a2b","submitted_via_web",2024-04-28 18:29:44,,"dtra_nk","Daniel",,,
2024-04-28 06:08:17.614,2024-04-28 18:25:12.426,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","cattle","female","six_months_to_year_calf",,,,,,,"cross_breed",,,,,,"5",,39,"DSR000058","DDT000184","DDT000185","no",,"no",,,,,,,,,,"no","no",,,,,,334086779,"uuid:03b62d03-4383-42fc-a49f-eb7f4535eb65",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","03b62d03-4383-42fc-a49f-eb7f4535eb65","submitted_via_web",2024-04-28 18:29:44,,"dtra_nk","Daniel",,,
2024-04-28 06:30:25.347,2024-04-28 18:25:23.304,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","chicken","female",,,,,,,"eight_to_seventeen_wks",,,,,,"indegenous",,,41,"DSR000059","DDT000186","DDT000187","no",,"no",,,,,,,,,,,,,,,,,334086784,"uuid:afa4cf47-dce6-4ca6-ac42-e0369aa17434",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","afa4cf47-dce6-4ca6-ac42-e0369aa17434","submitted_via_web",2024-04-28 18:29:45,,"dtra_nk","Daniel",,,
2024-04-28 06:33:15.559,2024-04-28 18:25:27.912,2024-04-28,"collect:W7gdBJ4Ypb4GvukP","other","local","samburu","porro","DHH010004","chicken","male",,,,,,,"eight_to_seventeen_wks",,,,,,"indegenous",,,42,"DSR000060","DDT000188","DDT000189","no",,"no",,,,,,,,,,,,,,,,,334086787,"uuid:2417b31c-cf75-4965-b500-a8981d52081f",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","2417b31c-cf75-4965-b500-a8981d52081f","submitted_via_web",2024-04-28 18:29:46,,"dtra_nk","Daniel",,,
2024-04-29 05:53:30.02,2024-04-29 07:38:15.174,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","sheep","female",,,"over_1yr",,,,,,,"other",,,,,"3",38,"DSR000068","DDT000122","DDT000123","no",,"no",,"none",0,0,0,0,0,1,0,"no","no",,,,,,334405950,"uuid:d811ade8-a8ed-4aaf-ac83-2fe67ce11978",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","d811ade8-a8ed-4aaf-ac83-2fe67ce11978","submitted_via_web",2024-04-29 19:27:17,,"dtra_nk",,"Cross breed",,
2024-04-29 05:57:19.752,2024-04-29 07:38:31.404,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","sheep","female",,,"over_1yr",,,,,,,"other",,,,,"3",38,"DSR000069","DDT000124","DDT000125","no",,"no",,"none",0,0,0,0,0,1,0,"no","no",,,,,,334405955,"uuid:37493341-9d72-4d59-90b9-321ce22ebac0",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","37493341-9d72-4d59-90b9-321ce22ebac0","submitted_via_web",2024-04-29 19:27:18,,"dtra_nk",,"Cross breed",,
2024-04-29 06:02:51.051,2024-04-29 07:38:43.257,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","2","local","samburu","porro","DHH010005","sheep","male",,,"over_1yr",,,,,,,"dorper",,,,,"4",38,"DSR000070","DDT000126","DDT000127","no",,"no",,,,,,,,,,,"no","haemorrhage_symptoms",0,1,0,"Redness of the prepuce",334405958,"uuid:47078edf-dcfc-40b2-bfb1-9e82ae7b202f",,,"0faf74cfdc894231aaf741394d8b1d4e","vNamFDtoZUpH82GGzGwQKa","aLP3JdXAZND6TwozR4UEMU","47078edf-dcfc-40b2-bfb1-9e82ae7b202f","submitted_via_web",2024-04-29 19:27:19,,"dtra_nk",,,,
