"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,"T",240608,103713,"1.2949111N",36.8957433,1261,0.9,0
2,"T",240608,103723,"1.2948918N",36.8957556,1262,0,0
3,"T",240608,103733,"1.2948025N",36.8957213,1259,4.5,231
4,"T",240608,103743,"1.2946520N",36.8957315,1283,10.1,164
5,"T",240608,103753,"1.2947568N",36.8957321,1264,0,118
6,"T",240608,103754,"1.2947611N",36.8957328,1264,0,118
7,"T",240608,103755,"1.2947638N",36.8957316,1264,0,118
8,"T",240608,103756,"1.2947655N",36.8957325,1264,0,118
9,"T",240608,103757,"1.2947666N",36.8957305,1264,0,118
10,"T",240608,103758,"1.2947673N",36.8957281,1264,0,118
11,"T",240608,103759,"1.2947668N",36.8957241,1264,0.8,118
12,"T",240608,103809,"1.2947630N",36.8957145,1262,0,118
13,"T",240608,103819,"1.2947588N",36.8957106,1261,0,118
14,"T",240608,103829,"1.2947531N",36.8957075,1260,0,118
15,"T",240608,103839,"1.2947526N",36.8957095,1261,0,118
16,"T",240608,103849,"1.2948501N",36.8957523,1262,4.1,7
17,"T",240608,103859,"1.2948556N",36.8957451,1261,0,7
18,"T",240608,103909,"1.2947741N",36.8957133,1262,4.1,191
19,"T",240608,103919,"1.2947353N",36.8957148,1262,0,191
20,"T",240608,103929,"1.2947335N",36.8957176,1263,0,191
21,"T",240608,103939,"1.2947338N",36.8957191,1262,0,191
22,"T",240608,103949,"1.2947326N",36.895727,1263,0,191
23,"T",240608,103959,"1.2947308N",36.8957301,1263,0,191
24,"T",240608,104009,"1.2947225N",36.8957425,1263,1.6,191
25,"T",240608,104019,"1.2947243N",36.8957471,1263,0,191
26,"T",240608,104029,"1.2947305N",36.8957473,1262,0,191
27,"T",240608,104039,"1.2947311N",36.8957436,1262,0,191
28,"T",240608,104049,"1.2947290N",36.8957435,1262,0,191
29,"T",240608,104059,"1.2947273N",36.8957428,1262,0,191
30,"T",240608,104109,"1.2947263N",36.8957416,1262,0,191
31,"T",240608,104119,"1.2947268N",36.89574,1263,0,191
32,"T",240608,104129,"1.2947268N",36.8957388,1263,0,191
33,"T",240608,104139,"1.2947278N",36.8957386,1263,0,191
34,"T",240608,104149,"1.2947288N",36.8957385,1263,0,191
35,"T",240608,104159,"1.2947288N",36.8957385,1263,0,191
36,"T",240608,104209,"1.2947293N",36.8957388,1263,0,191
37,"T",240608,104219,"1.2947288N",36.8957378,1263,0,191
38,"T",240608,104229,"1.2947286N",36.8957368,1263,0,191
39,"T",240608,104239,"1.2947280N",36.8957368,1263,0,191
40,"T",240608,104249,"1.2946810N",36.8956903,1262,3.7,264
41,"T",240608,104259,"1.2946843N",36.8956753,1262,0,287
42,"T",240608,104309,"1.2946880N",36.8956751,1262,0,287
43,"T",240608,104319,"1.2946895N",36.8956706,1262,2,287
44,"T",240608,104329,"1.2946745N",36.8956443,1262,0,287
45,"T",240608,104339,"1.2946783N",36.8956463,1262,0,287
46,"T",240608,104349,"1.2946815N",36.8956478,1262,0,287
47,"T",240608,104359,"1.2946850N",36.8956495,1262,0,287
48,"T",240608,104409,"1.2946883N",36.8956503,1262,0,287
49,"T",240608,104419,"1.2947001N",36.8956551,1262,0,287
50,"T",240608,104429,"1.2946935N",36.8956788,1262,2.3,97
51,"T",240608,104439,"1.2946985N",36.895699,1263,0,97
52,"T",240608,104449,"1.2947013N",36.8957015,1263,0,97
53,"T",240608,104459,"1.2947061N",36.8956665,1263,0,259
54,"T",240608,104509,"1.2946916N",36.8956916,1264,0,259
55,"T",240608,104519,"1.2947010N",36.8957008,1264,2.8,259
