"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,"T",240612,92352,"1.3191816N",37.201014,1266,5.1,56
2,"T",240612,92353,"1.3191878N",37.2010221,1266,2.8,56
3,"T",240612,92354,"1.3191905N",37.2010238,1266,1.2,56
4,"T",240612,92355,"1.3191935N",37.2010185,1268,1.7,56
5,"T",240612,92356,"1.3191978N",37.2010161,1268,1.5,56
6,"T",240612,92357,"1.3192023N",37.2010198,1268,0.8,56
7,"T",240612,92358,"1.3192043N",37.2010205,1268,0.7,56
8,"T",240612,92359,"1.3192078N",37.2010233,1269,0.7,56
9,"T",240612,92409,"1.3192293N",37.201039,1273,0,56
10,"T",240612,92419,"1.3192776N",37.2010856,1283,5.2,64
11,"T",240612,92429,"1.3192991N",37.2011808,1291,4.6,118
12,"T",240612,92439,"1.3192783N",37.2012006,1296,5.7,31
13,"T",240612,92449,"1.3193406N",37.2012328,1292,3,34
14,"T",240612,92459,"1.3193700N",37.2012661,1289,0,68
15,"T",240612,92509,"1.3193813N",37.201259,1287,0,68
16,"T",240612,92519,"1.3193896N",37.2012531,1285,0,68
17,"T",240612,92529,"1.3193961N",37.2012491,1285,0,68
18,"T",240612,92539,"1.3194020N",37.2012448,1285,0,68
19,"T",240612,92549,"1.3194001N",37.2012435,1284,0,68
20,"T",240612,92559,"1.3193943N",37.2012426,1284,0,68
21,"T",240612,92609,"1.3193951N",37.2012556,1287,0,68
22,"T",240612,92619,"1.3193921N",37.2012533,1286,0,68
23,"T",240612,92629,"1.3193916N",37.2012495,1286,0,68
24,"T",240612,92639,"1.3193903N",37.2012488,1286,0,68
25,"T",240612,92649,"1.3193911N",37.201248,1286,0,68
26,"T",240612,92659,"1.3193916N",37.2012471,1286,0,68
27,"T",240612,92709,"1.3193956N",37.2012525,1285,0,68
28,"T",240612,92719,"1.3193981N",37.2012513,1285,0,68
29,"T",240612,92729,"1.3194015N",37.2012506,1285,0,68
30,"T",240612,92739,"1.3194021N",37.2012511,1285,0,68
31,"T",240612,92749,"1.3194025N",37.2012511,1285,0,68
32,"T",240612,92759,"1.3194028N",37.2012511,1285,0,68
33,"T",240612,92809,"1.3194045N",37.2012493,1285,0,68
34,"T",240612,92819,"1.3194043N",37.2012483,1285,0,68
35,"T",240612,92829,"1.3194041N",37.2012478,1285,0,68
36,"T",240612,92839,"1.3194036N",37.2012476,1285,0,68
37,"T",240612,92849,"1.3194021N",37.201248,1285,0,68
38,"T",240612,92859,"1.3194011N",37.2012485,1285,0,68
39,"T",240612,92909,"1.3194005N",37.2012486,1285,0,68
40,"T",240612,92919,"1.3194000N",37.2012481,1285,0,68
41,"T",240612,92929,"1.3193993N",37.2012476,1285,0,68
42,"T",240612,92939,"1.3194143N",37.2012696,1286,0,55
43,"T",240612,92949,"1.3194150N",37.2012693,1286,0,55
44,"T",240612,92959,"1.3194140N",37.2012691,1286,0,55
45,"T",240612,93009,"1.3191551N",37.2008883,1224,39.1,241
46,"T",240612,93019,"1.3190756N",37.2006511,1213,1.5,240
47,"T",240612,93029,"1.3192420N",37.2009765,1239,0,240
48,"T",240612,93039,"1.3193608N",37.2011633,1267,0,240
49,"T",240612,93049,"1.3193898N",37.2012303,1279,0,240
