"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,"T",240608,63651,"1.2947986N",36.8956831,1263,0.4,0
2,"T",240608,63652,"1.2947998N",36.8956826,1263,0.4,0
3,"T",240608,63653,"1.2947978N",36.8956805,1263,0.7,0
4,"T",240608,63654,"1.2947985N",36.8956793,1263,0.1,0
5,"T",240608,63655,"1.2947990N",36.8956788,1263,0,0
6,"T",240608,63656,"1.2947991N",36.895679,1263,0,0
7,"T",240608,63657,"1.2947993N",36.8956795,1263,0,0
8,"T",240608,63658,"1.2947993N",36.89568,1263,0,0
9,"T",240608,63659,"1.2947993N",36.8956803,1263,0,0
10,"T",240608,63709,"1.2947981N",36.8956821,1263,0,0
11,"T",240608,63719,"1.2947980N",36.8956775,1263,0,0
12,"T",240608,63729,"1.2947968N",36.8956831,1263,0,0
13,"T",240608,63739,"1.2947556N",36.8956608,1246,0,189
14,"T",240608,63749,"1.2947753N",36.8956671,1252,0,189
15,"T",240608,63759,"1.2947906N",36.8956756,1258,0,189
16,"T",240608,63809,"1.2947956N",36.8956828,1260,0,189
17,"T",240608,63819,"1.2947960N",36.8956853,1263,0,189
18,"T",240608,63829,"1.2947971N",36.8956866,1263,0,189
19,"T",240608,63839,"1.2947975N",36.8956875,1264,0,189
20,"T",240608,63849,"1.2947983N",36.8956878,1264,0,189
21,"T",240608,63859,"1.2947995N",36.8956878,1264,0,189
22,"T",240608,63909,"1.2947998N",36.8956878,1264,0,189
23,"T",240608,63919,"1.2948000N",36.8956865,1266,0,189
24,"T",240608,63929,"1.2948025N",36.8956875,1264,0.5,189
25,"T",240608,63939,"1.2948018N",36.8956883,1264,0,189
26,"T",240608,63949,"1.2947976N",36.8956946,1265,0,189
27,"T",240608,63959,"1.2947956N",36.8956963,1265,0,189
28,"T",240608,64009,"1.2948006N",36.89569,1265,0,189
29,"T",240608,64019,"1.2948005N",36.8956865,1265,0,189
30,"T",240608,64029,"1.2948008N",36.8956838,1264,0,189
31,"T",240608,64039,"1.2948016N",36.8956823,1264,0,189
32,"T",240608,64049,"1.2948031N",36.8956838,1264,0,189
33,"T",240608,64059,"1.2948041N",36.895684,1264,0,189
34,"T",240608,64109,"1.2948045N",36.8956841,1264,0,189
35,"T",240608,64119,"1.2948020N",36.8956845,1263,0,189
36,"T",240608,64129,"1.2948005N",36.8956828,1263,0,189
37,"T",240608,64139,"1.2947988N",36.8956833,1263,0,189
38,"T",240608,64149,"1.2947896N",36.8956786,1261,0,189
39,"T",240608,64159,"1.2947893N",36.8956805,1261,0,189
40,"T",240608,64209,"1.2947896N",36.8956815,1261,0,189
41,"T",240608,64219,"1.2947896N",36.8956816,1261,0,189
42,"T",240608,64229,"1.2947903N",36.8956825,1262,0,189
43,"T",240608,64239,"1.2947935N",36.8957016,1262,4.9,79
44,"T",240608,64249,"1.2948268N",36.8957876,1263,4.6,80
45,"T",240608,64259,"1.2948558N",36.8958968,1264,4.1,76
46,"T",240608,64309,"1.2948641N",36.895922,1264,0,83
47,"T",240608,64319,"1.2948651N",36.8959231,1264,0,83
48,"T",240608,64329,"1.2948653N",36.8959251,1264,0,83
49,"T",240608,64339,"1.2948561N",36.8959225,1264,0,83
50,"T",240608,64349,"1.2948475N",36.8958521,1261,1.7,268
51,"T",240608,64359,"1.2948566N",36.8958598,1262,0,67
52,"T",240608,64409,"1.2948205N",36.895775,1262,1.9,234
53,"T",240608,64419,"1.2947953N",36.8956898,1262,0,267
54,"T",240608,64429,"1.2947958N",36.8956901,1262,0,267
55,"T",240608,64439,"1.2947945N",36.8956878,1262,0,267
56,"T",240608,64449,"1.2947940N",36.8956873,1262,0,267
57,"T",240608,64459,"1.2947940N",36.8956878,1262,0,267
58,"T",240608,64509,"1.2947935N",36.8956878,1262,0,267
59,"T",240608,64519,"1.2947936N",36.8956868,1262,0,267
60,"T",240608,64529,"1.2947941N",36.8956861,1262,0,267
61,"T",240608,64539,"1.2947955N",36.8956853,1262,0,267
62,"T",240608,64549,"1.2947956N",36.8956856,1262,0,267
63,"T",240608,64559,"1.2947950N",36.8956861,1262,0,267
64,"T",240608,64609,"1.2947951N",36.8956865,1262,0,267
65,"T",240608,64619,"1.2947951N",36.895687,1262,0,267
66,"T",240608,64629,"1.2947955N",36.8956871,1262,0,267
67,"T",240608,64639,"1.2947955N",36.8956871,1262,0,267
68,"T",240608,64649,"1.2947946N",36.8956873,1262,0,267
69,"T",240608,64659,"1.2947948N",36.8956871,1262,0,267
70,"T",240608,64709,"1.2947956N",36.8956866,1262,0,267
71,"T",240608,64719,"1.2947960N",36.8956866,1262,0,267
72,"T",240608,64729,"1.2947965N",36.895686,1262,0,267
73,"T",240608,64739,"1.2947968N",36.8956853,1262,0,267
74,"T",240608,64749,"1.2947966N",36.8956855,1262,0,267
75,"T",240608,64759,"1.2948146N",36.8956781,1262,3.3,336
76,"T",240608,64809,"1.2948363N",36.8957381,1262,0,50
77,"T",240608,64819,"1.2948353N",36.8957361,1262,0,50
78,"T",240608,64829,"1.2948336N",36.895734,1262,0,50
79,"T",240608,64839,"1.2948333N",36.8957316,1262,0,50
80,"T",240608,64849,"1.2948323N",36.8957305,1262,0,50
81,"T",240608,64859,"1.2948313N",36.8957295,1262,0,50
82,"T",240608,64909,"1.2948308N",36.8957283,1262,0,50
83,"T",240608,64919,"1.2948316N",36.8957273,1262,0,50
84,"T",240608,64929,"1.2948315N",36.8957273,1262,0,50
85,"T",240608,64939,"1.2948315N",36.8957275,1262,0,50
86,"T",240608,64949,"1.2948321N",36.8957273,1262,0,50
87,"T",240608,64959,"1.2948325N",36.8957276,1262,0,50
88,"T",240608,65009,"1.2948330N",36.8957275,1262,0,50
89,"T",240608,65019,"1.2948320N",36.8957276,1262,0,50
90,"T",240608,65029,"1.2948311N",36.8957276,1262,0,50
91,"T",240608,65039,"1.2948306N",36.8957268,1262,0,50
92,"T",240608,65049,"1.2948310N",36.895726,1262,0,50
93,"T",240608,65059,"1.2948306N",36.8957263,1262,0,50
94,"T",240608,65109,"1.2948300N",36.8957265,1262,0,50
95,"T",240608,65119,"1.2948286N",36.8957265,1262,0,50
96,"T",240608,65129,"1.2948280N",36.8957258,1262,0,50
97,"T",240608,65139,"1.2948273N",36.8957253,1262,0,50
98,"T",240608,65149,"1.2948268N",36.8957246,1262,0,50
99,"T",240608,65159,"1.2948261N",36.8957245,1262,0,50
100,"T",240608,65209,"1.2948261N",36.895725,1262,0,50
101,"T",240608,65219,"1.2948253N",36.8957243,1262,0,50
102,"T",240608,65229,"1.2948241N",36.8957241,1262,0,50
103,"T",240608,65239,"1.2948231N",36.895724,1262,0,50
104,"T",240608,65249,"1.2948220N",36.8957233,1262,0,50
105,"T",240608,65259,"1.2948213N",36.8957231,1262,0,50
106,"G",240608,65609,"1.2948253N",36.8957055,1259,0,0
107,"T",240608,65619,"1.2948331N",36.8957138,1259,0,0
108,"T",240608,65629,"1.2948306N",36.8957146,1259,0,0
109,"T",240608,65639,"1.2948311N",36.8957165,1259,0,0
110,"T",240608,65649,"1.2948235N",36.8957013,1261,4.6,243
111,"T",240608,65659,"1.2947930N",36.8956576,1261,0,211
112,"T",240608,65709,"1.2947891N",36.8956573,1261,0,211
113,"T",240608,65719,"1.2947770N",36.895649,1261,0,211
114,"T",240608,65729,"1.2947760N",36.8956463,1262,0,211
115,"T",240608,65739,"1.2947741N",36.8956368,1262,0,211
116,"T",240608,65749,"1.2947728N",36.895637,1260,0,211
117,"T",240608,65759,"1.2947726N",36.895636,1260,0,211
118,"T",240608,65809,"1.2947750N",36.8956326,1260,0,211
119,"T",240608,65819,"1.2947741N",36.8956316,1260,0,211
120,"T",240608,65829,"1.2947750N",36.8956301,1260,0,211
121,"T",240608,65839,"1.2947755N",36.8956301,1260,0,211
122,"T",240608,65849,"1.2947768N",36.8956295,1261,0,211
123,"T",240608,65859,"1.2947781N",36.8956276,1261,0,211
124,"T",240608,65909,"1.2947781N",36.8956271,1261,0,211
125,"T",240608,65919,"1.2947783N",36.8956265,1261,0,211
