"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,"T",240426,74041,"0.9586018N",36.7548633,1822,0.9,0
2,"T",240426,74051,"0.9585930N",36.7548575,1814,1.9,0
3,"T",240426,74052,"0.9585923N",36.754858,1812,1,0
4,"T",240426,74053,"0.9585936N",36.7548586,1811,0.7,0
5,"T",240426,74054,"0.9585913N",36.7548585,1811,0,0
6,"T",240426,74055,"0.9585908N",36.7548586,1811,0,0
7,"T",240426,74056,"0.9585893N",36.7548578,1811,0,0
8,"T",240426,74057,"0.9585933N",36.7548533,1811,2.5,0
9,"T",240426,74058,"0.9585960N",36.7548496,1811,2.5,0
10,"T",240426,74059,"0.9585940N",36.7548501,1811,0,0
11,"T",240426,74109,"0.9585895N",36.7548533,1811,0,0
12,"T",240426,74119,"0.9585913N",36.7548525,1812,0,0
13,"T",240426,74129,"0.9585925N",36.754853,1812,0,0
14,"T",240426,74139,"0.9585956N",36.7548521,1812,0.5,0
15,"T",240426,74149,"0.9585888N",36.7548505,1812,0,0
16,"T",240426,74159,"0.9585830N",36.7548485,1813,0,0
17,"T",240426,74209,"0.9585843N",36.7548498,1813,0,0
18,"T",240426,74219,"0.9585780N",36.754855,1813,0,0
19,"T",240426,74229,"0.9585781N",36.7548441,1813,0,0
20,"T",240426,74239,"0.9585850N",36.754843,1814,0,0
21,"T",240426,74249,"0.9585828N",36.754841,1814,0,0
22,"T",240426,74259,"0.9585825N",36.7548415,1814,0,0
23,"T",240426,74309,"0.9585836N",36.7548435,1814,0,0
24,"T",240426,74319,"0.9585821N",36.7548453,1814,0,0
25,"T",240426,74329,"0.9585815N",36.7548458,1814,0,0
26,"T",240426,74339,"0.9585813N",36.7548458,1814,0,0
27,"T",240426,74349,"0.9585736N",36.7548441,1815,0,0
28,"T",240426,74359,"0.9585743N",36.7548455,1815,0,0
29,"T",240426,74409,"0.9585761N",36.7548455,1817,0.2,0
30,"T",240426,74419,"0.9585761N",36.7548436,1818,0,0
31,"T",240426,74429,"0.9585790N",36.7548383,1818,0,0
32,"T",240426,74439,"0.9585865N",36.7548348,1819,0,0
33,"T",240426,74449,"0.9585900N",36.7548371,1819,0,0
34,"T",240426,74459,"0.9585920N",36.754838,1819,0,0
35,"T",240426,74509,"0.9585928N",36.7548401,1818,0,0
36,"T",240426,74519,"0.9585930N",36.7548431,1818,0,0
37,"T",240426,74529,"0.9585926N",36.7548435,1818,0,0
38,"T",240426,74539,"0.9585926N",36.7548466,1818,0,0
39,"T",240426,74549,"0.9585920N",36.7548483,1818,0,0
40,"T",240426,74559,"0.9585970N",36.7548493,1818,0,0
41,"T",240426,74609,"0.9585965N",36.7548426,1819,0,279
42,"T",240426,74619,"0.9585953N",36.7548406,1818,0,279
43,"T",240426,74629,"0.9585941N",36.7548403,1818,0,279
44,"T",240426,74639,"0.9585956N",36.7548405,1818,0,279
45,"T",240426,74649,"0.9586031N",36.754829,1817,3,279
46,"T",240426,74659,"0.9586213N",36.7548355,1817,0,11
47,"T",240426,74709,"0.9586258N",36.7548346,1817,2.2,11
48,"T",240426,74719,"0.9586520N",36.7548185,1817,2.8,279
49,"T",240426,74729,"0.9587060N",36.7548571,1821,7,114
50,"T",240426,74739,"0.9585538N",36.7549125,1836,0,170
51,"T",240426,74749,"0.9585788N",36.7550083,1842,12.9,62
52,"T",240426,74759,"0.9586250N",36.7551788,1844,1.2,59
53,"T",240426,74809,"0.9586303N",36.755212,1835,12.6,129
54,"T",240426,74819,"0.9586120N",36.7553083,1817,5,22
55,"T",240426,74829,"0.9587043N",36.7552851,1813,3.1,267
56,"T",240426,74839,"0.9587203N",36.7552951,1814,0,68
57,"T",240426,74849,"0.9587070N",36.7552543,1815,2,256
58,"T",240426,74859,"0.9586701N",36.7552026,1814,0,242
59,"T",240426,74909,"0.9586601N",36.7551828,1814,0,242
60,"T",240426,74919,"0.9586486N",36.7551695,1815,0,242
61,"T",240426,74929,"0.9586466N",36.7551658,1814,0,242
62,"T",240426,74939,"0.9586448N",36.755165,1815,0,242
63,"T",240426,74949,"0.9586438N",36.755162,1814,0,242
64,"T",240426,74959,"0.9586340N",36.7551606,1814,0,242
65,"T",240426,75009,"0.9586330N",36.7551581,1814,0,242
66,"T",240426,75019,"0.9586296N",36.7551511,1814,0,242
67,"T",240426,75029,"0.9586283N",36.7551493,1815,0,242
68,"T",240426,75039,"0.9586063N",36.7551435,1815,2,144
69,"T",240426,75049,"0.9586013N",36.7551255,1815,0,144
70,"T",240426,75059,"0.9585905N",36.7551225,1815,0,144
71,"T",240426,75109,"0.9585918N",36.7551186,1815,0,144
72,"T",240426,75119,"0.9585900N",36.7551165,1815,0,144
73,"T",240426,75129,"0.9585913N",36.755114,1815,0,144
74,"T",240426,75139,"0.9585703N",36.7550926,1815,1.6,144
75,"T",240426,75149,"0.9585676N",36.7550911,1814,0,144
76,"T",240426,75159,"0.9585676N",36.7550901,1815,0,144
77,"T",240426,75209,"0.9585661N",36.7550895,1815,0,144
78,"T",240426,75219,"0.9585656N",36.7550891,1815,0,144
79,"T",240426,75229,"0.9585651N",36.7550895,1815,0,144
80,"T",240426,75239,"0.9585651N",36.7550895,1815,0,144
81,"T",240426,75249,"0.9585751N",36.7550818,1814,3.7,3
82,"T",240426,75259,"0.9585685N",36.7550875,1815,7.1,243
83,"T",240426,75309,"0.9585425N",36.7550608,1815,0,201
84,"T",240426,75319,"0.9585733N",36.7550381,1816,4.1,84
85,"T",240426,75329,"0.9585836N",36.7549943,1818,3.3,290
86,"T",240426,75339,"0.9586000N",36.7549328,1818,3.2,265
87,"T",240426,75349,"0.9586030N",36.7548828,1819,7.3,49
88,"T",240426,75359,"0.9586070N",36.7549018,1818,0,93
89,"T",240426,75409,"0.9586013N",36.7548893,1818,0,93
90,"T",240426,75419,"0.9585991N",36.7548861,1817,0,93
91,"T",240426,75429,"0.9585836N",36.7548808,1817,0,93
92,"T",240426,75439,"0.9585910N",36.7548881,1817,0,93
93,"T",240426,75449,"0.9585925N",36.7548891,1817,0,93
94,"T",240426,75459,"0.9585956N",36.7548683,1822,3.2,74
95,"T",240426,75509,"0.9586166N",36.7548748,1823,0,165
96,"T",240426,75519,"0.9586173N",36.7548503,1818,2,260
97,"T",240426,75529,"0.9585995N",36.7548773,1818,0,156
98,"T",240426,75539,"0.9586003N",36.7548798,1817,0,156
99,"T",240426,75549,"0.9586115N",36.7549208,1817,5.5,240
100,"T",240426,75559,"0.9586073N",36.7549081,1818,0,240
101,"T",240426,75609,"0.9586348N",36.7549446,1820,4.9,117
102,"T",240426,75619,"0.9586031N",36.7549026,1821,0,239
103,"T",240426,75629,"0.9586018N",36.7548983,1820,0,239
104,"T",240426,75639,"0.9586026N",36.7549041,1819,0,259
105,"T",240426,75649,"0.9585993N",36.7549045,1818,0,259
106,"T",240426,75659,"0.9585958N",36.7549016,1817,0,259
107,"T",240426,75709,"0.9585891N",36.7548956,1817,0,259
108,"T",240426,75719,"0.9585960N",36.7548956,1818,0,23
109,"T",240426,75729,"0.9585965N",36.7548928,1818,0,23
110,"T",240426,75739,"0.9585946N",36.754892,1818,0,23
111,"T",240426,75749,"0.9585873N",36.7548878,1817,0,23
112,"T",240426,75759,"0.9585996N",36.7548861,1819,1.4,171
113,"T",240426,75809,"0.9586150N",36.7549045,1819,3,37
