"hh_id","county","ward","livestock_species","gps_logger_id","date_deployed","date_retrieved","ceres_tag_id","ticks_initial_amb_hya","ticks_initial_amb_hya_sample_id","ticks_initial_groin","ticks_initial_groin_sample_id","ticks_initial_genitals","ticks_initial_genitals_sample_id","ticks_initial_face","ticks_initial_face_sample_id","ticks_initial_other","ticks_initial_other_sample_id","ticks_initial_total","ticks_initial_amb_hya_herd_yn","ticks_initial_amb_hya_herd","ticks_initial_amb_hya_herd_added","ticks_final_groin","ticks_final_groin_sample_id","ticks_final_genitals","ticks_final_genitals_sample_id","ticks_final_face","ticks_final_face_sample_id","ticks_final_other","ticks_final_other_sample_id","ticks_final_total","ticks_final_amb_hya_herd_yn","ticks_final_amb_hya_herd","ticks_final_amb_hya_herd_added"
"DHH010014","samburu","wamba_north","camel",7,2024-06-08,2024-06-11,"2207B1720",4,"DTK000030",0,NA,0,NA,0,NA,0,NA,4,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010013","samburu","wamba_north","cattle",3,2024-06-08,2024-06-11,"2207B1798",5,"DTK000031",0,NA,0,NA,0,NA,0,NA,5,"yes",5,"OK",0,NA,0,NA,0,NA,0,NA,0,"no",NA,NA
"DHH010013","samburu","wamba_north","camel",4,2024-06-08,2024-06-11,NA,17,"DTK000032",0,NA,0,NA,0,NA,0,NA,17,NA,NA,NA,0,NA,1,"DTK000033",2,"DTK000034",0,NA,3,NA,NA,NA
"DHH010015","samburu","wamba_north","camel",9,2024-06-09,2024-06-11,NA,8,"DTK000111",0,NA,0,NA,0,NA,0,NA,8,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010015","samburu","wamba_north","cattle",10,2024-06-09,2024-06-11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"no",NA,NA,0,NA,0,NA,0,NA,0,NA,0,"no",NA,NA
"DHH010016","samburu","wamba_north","goat",11,2024-06-09,2024-06-11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010019","samburu","wamba_north","goat",4,2024-06-12,2024-06-17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010019","samburu","wamba_north","camel",3,2024-06-12,2024-06-17,"2207B1781",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010019","samburu","wamba_north","cattle",2,2024-06-12,2024-06-17,NA,0,NA,0,NA,4,"DTK000036",0,NA,0,NA,4,"no",NA,NA,0,NA,0,NA,0,NA,0,NA,0,"no",NA,NA
"DHH010019","samburu","wamba_north","sheep",5,2024-06-12,2024-06-17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010020","samburu","wamba_north","cattle",6,2024-06-12,2024-06-17,"2205B0236",7,"DTK000037",0,NA,0,NA,0,NA,0,NA,7,"yes",6,"OK",2,"DTK000041",0,NA,0,NA,0,NA,2,"no",NA,NA
"DHH010020","samburu","wamba_north","goat",7,2024-06-12,2024-06-17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010020","samburu","wamba_north","sheep",8,2024-06-12,2024-06-17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010020","samburu","wamba_north","camel",9,2024-06-12,2024-06-17,NA,15,"DTK000038",0,NA,0,NA,0,NA,0,NA,15,NA,NA,NA,2,"DTK000043",0,NA,0,NA,0,NA,2,NA,NA,NA
"DHH010021","samburu","wamba_north","cattle",1,2024-06-13,2024-06-17,NA,5,"DTK000039",0,NA,0,NA,0,NA,0,NA,5,"no",NA,NA,0,NA,0,NA,0,NA,0,NA,0,"no",NA,NA
"DHH010021","samburu","wamba_north","goat",10,2024-06-13,2024-06-17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010021","samburu","wamba_north","camel",11,2024-06-13,2024-06-17,NA,1,"DTK000040",0,NA,0,NA,1,"DTK000040",0,NA,2,NA,NA,NA,2,"DTK000044",0,NA,0,NA,0,NA,2,NA,NA,NA
