"Time","lat","lon","elevation","satellites","hdop","geometry"
2024-06-13 04:45:07,1.348055,37.197185,1160.1,9,1,c(37.197185, 1.348055)
2024-06-13 04:45:10,1.348055,37.197236,1156.8,9,1,c(37.197236, 1.348055)
2024-06-13 04:45:13,1.348066,37.197221,1152.3,9,1,c(37.197221, 1.348066)
2024-06-13 04:45:16,1.34802,37.19722,1176.4,10,1,c(37.19722, 1.34802)
2024-06-13 04:45:19,1.348023,37.197246,1205.1,9,1,c(37.197246, 1.348023)
2024-06-13 04:45:22,1.348023,37.19721,1200,9,1,c(37.19721, 1.348023)
2024-06-13 04:45:25,1.348033,37.197245,1184.7,9,1,c(37.197245, 1.348033)
2024-06-13 04:45:28,1.348023,37.197245,1177.6,4,1,c(37.197245, 1.348023)
2024-06-13 04:45:31,1.348036,37.197258,1155,7,1,c(37.197258, 1.348036)
2024-06-13 04:45:34,1.348086,37.197285,1194.6,10,1,c(37.197285, 1.348086)
2024-06-13 04:45:37,1.34811,37.197288,1189.6,9,1,c(37.197288, 1.34811)
2024-06-13 04:45:40,1.348133,37.19729,1187.8,10,1,c(37.19729, 1.348133)
2024-06-13 04:45:43,1.34815,37.197288,1184,8,1,c(37.197288, 1.34815)
2024-06-13 04:45:46,1.34815,37.197256,1180.7,9,1,c(37.197256, 1.34815)
2024-06-13 04:45:49,1.348161,37.197238,1178.6,8,1,c(37.197238, 1.348161)
2024-06-13 04:45:52,1.348146,37.197191,1176.6,10,1,c(37.197191, 1.348146)
2024-06-13 04:45:55,1.348133,37.197158,1175.2,10,1,c(37.197158, 1.348133)
2024-06-13 04:45:58,1.348133,37.197153,1174,10,1,c(37.197153, 1.348133)
2024-06-13 04:46:01,1.348153,37.197146,1176.4,9,1,c(37.197146, 1.348153)
2024-06-13 04:46:04,1.34816,37.197165,1178.4,9,1,c(37.197165, 1.34816)
2024-06-13 04:46:07,1.348153,37.197175,1178.9,8,1,c(37.197175, 1.348153)
2024-06-13 04:46:10,1.348133,37.19718,1179,9,1,c(37.19718, 1.348133)
2024-06-13 04:46:13,1.348123,37.197155,1179.8,9,1,c(37.197155, 1.348123)
2024-06-13 04:46:16,1.348118,37.197171,1180.8,9,1,c(37.197171, 1.348118)
2024-06-13 04:46:19,1.348136,37.197185,1180.6,9,1,c(37.197185, 1.348136)
2024-06-13 04:46:22,1.348148,37.197193,1180.6,9,1,c(37.197193, 1.348148)
2024-06-13 04:46:25,1.34816,37.197176,1180,9,1,c(37.197176, 1.34816)
2024-06-13 04:46:28,1.348166,37.197148,1179.2,9,1,c(37.197148, 1.348166)
2024-06-13 04:46:31,1.34817,37.197108,1157.7,9,1,c(37.197108, 1.34817)
2024-06-13 04:46:34,1.348173,37.197126,1157.5,9,1,c(37.197126, 1.348173)
2024-06-13 04:46:37,1.348178,37.197136,1159.3,9,1,c(37.197136, 1.348178)
2024-06-13 04:46:40,1.348176,37.197146,1160,9,1,c(37.197146, 1.348176)
2024-06-13 04:46:43,1.348178,37.197145,1160.7,9,1,c(37.197145, 1.348178)
2024-06-13 04:46:46,1.348175,37.197141,1160.9,9,1,c(37.197141, 1.348175)
2024-06-13 04:46:49,1.348171,37.19714,1161,10,1,c(37.19714, 1.348171)
2024-06-13 04:46:52,1.348173,37.19713,1161.4,9,1,c(37.19713, 1.348173)
2024-06-13 04:46:55,1.34818,37.197128,1164.8,8,1,c(37.197128, 1.34818)
2024-06-13 04:46:58,1.348178,37.197128,1164.8,10,1,c(37.197128, 1.348178)
2024-06-13 04:47:01,1.348181,37.19713,1164.9,10,1,c(37.19713, 1.348181)
2024-06-13 04:47:04,1.348183,37.197131,1164.9,10,1,c(37.197131, 1.348183)
2024-06-13 04:47:07,1.348183,37.19713,1164.9,8,1,c(37.19713, 1.348183)
2024-06-13 04:47:10,1.348183,37.197131,1164.9,10,1,c(37.197131, 1.348183)
2024-06-13 04:47:13,1.348176,37.197141,1165.1,9,1,c(37.197141, 1.348176)
2024-06-13 04:47:16,1.348165,37.197143,1165.2,10,1,c(37.197143, 1.348165)
2024-06-13 04:47:19,1.348163,37.197143,1165.3,7,1,c(37.197143, 1.348163)
2024-06-13 04:47:22,1.348163,37.197145,1165.3,8,1,c(37.197145, 1.348163)
2024-06-13 04:47:25,1.348163,37.197145,1165.3,8,1,c(37.197145, 1.348163)
2024-06-13 04:47:28,1.348165,37.197146,1165.3,9,1,c(37.197146, 1.348165)
2024-06-13 04:47:31,1.348166,37.197145,1165.3,8,0.899999976158142,c(37.197145, 1.348166)
2024-06-13 04:47:34,1.348165,37.197143,1165.3,10,0.899999976158142,c(37.197143, 1.348165)
2024-06-13 04:47:37,1.34816,37.197141,1165.3,8,0.899999976158142,c(37.197141, 1.34816)
2024-06-13 04:47:40,1.348155,37.19714,1165.6,10,0.899999976158142,c(37.19714, 1.348155)
2024-06-13 04:47:43,1.348151,37.197136,1165.6,10,0.899999976158142,c(37.197136, 1.348151)
2024-06-13 04:47:46,1.348153,37.197138,1165.6,9,0.899999976158142,c(37.197138, 1.348153)
2024-06-13 04:47:49,1.348153,37.19714,1165.6,9,0.899999976158142,c(37.19714, 1.348153)
2024-06-13 04:47:52,1.348151,37.197143,1165.7,10,0.899999976158142,c(37.197143, 1.348151)
2024-06-13 04:47:55,1.348151,37.197141,1165.7,10,0.899999976158142,c(37.197141, 1.348151)
2024-06-13 04:47:58,1.348155,37.197136,1165.7,10,0.899999976158142,c(37.197136, 1.348155)
2024-06-13 04:48:01,1.348153,37.197133,1165.7,10,0.899999976158142,c(37.197133, 1.348153)
2024-06-13 04:48:04,1.348153,37.197136,1166,9,0.899999976158142,c(37.197136, 1.348153)
2024-06-13 04:48:07,1.34815,37.197136,1166.4,9,0.899999976158142,c(37.197136, 1.34815)
2024-06-13 04:48:10,1.34815,37.197138,1166.4,9,0.899999976158142,c(37.197138, 1.34815)
2024-06-13 04:48:13,1.348148,37.19714,1166.4,10,0.899999976158142,c(37.19714, 1.348148)
2024-06-13 04:48:16,1.348148,37.197141,1166.5,10,0.899999976158142,c(37.197141, 1.348148)
2024-06-13 04:48:19,1.348148,37.19714,1166.5,10,0.800000011920929,c(37.19714, 1.348148)
2024-06-13 04:48:22,1.34815,37.197141,1166.5,10,0.800000011920929,c(37.197141, 1.34815)
2024-06-13 04:48:25,1.348151,37.197143,1166.5,10,0.800000011920929,c(37.197143, 1.348151)
2024-06-13 04:48:28,1.348155,37.197141,1166.5,8,0.800000011920929,c(37.197141, 1.348155)
2024-06-13 04:48:31,1.348153,37.19714,1166.5,9,0.800000011920929,c(37.19714, 1.348153)
2024-06-13 04:48:34,1.348155,37.19714,1166.3,9,0.800000011920929,c(37.19714, 1.348155)
2024-06-13 04:48:37,1.34815,37.197135,1166.4,9,0.800000011920929,c(37.197135, 1.34815)
2024-06-13 04:48:40,1.348145,37.197133,1166.4,9,0.800000011920929,c(37.197133, 1.348145)
2024-06-13 04:48:43,1.348143,37.197131,1166.4,9,0.800000011920929,c(37.197131, 1.348143)
2024-06-13 04:48:46,1.348141,37.197131,1166.4,8,0.800000011920929,c(37.197131, 1.348141)
2024-06-13 04:48:49,1.348145,37.19713,1166.4,10,0.800000011920929,c(37.19713, 1.348145)
2024-06-13 04:48:52,1.348135,37.19712,1166.6,9,0.800000011920929,c(37.19712, 1.348135)
2024-06-13 04:48:55,1.34814,37.197126,1166.6,10,0.800000011920929,c(37.197126, 1.34814)
2024-06-13 04:48:58,1.348133,37.197126,1166.6,10,0.800000011920929,c(37.197126, 1.348133)
2024-06-13 04:49:01,1.348135,37.197128,1166.6,8,0.800000011920929,c(37.197128, 1.348135)
2024-06-13 04:49:04,1.348133,37.197126,1166.7,9,0.800000011920929,c(37.197126, 1.348133)
2024-06-13 04:49:07,1.348136,37.197128,1166.7,10,0.800000011920929,c(37.197128, 1.348136)
2024-06-13 04:49:10,1.348136,37.197126,1166.7,10,0.800000011920929,c(37.197126, 1.348136)
2024-06-13 04:49:13,1.348138,37.197126,1166.7,10,0.800000011920929,c(37.197126, 1.348138)
2024-06-13 04:49:16,1.348138,37.197126,1166.7,8,0.800000011920929,c(37.197126, 1.348138)
2024-06-13 04:49:19,1.348136,37.197126,1166.7,8,0.800000011920929,c(37.197126, 1.348136)
2024-06-13 04:49:22,1.348136,37.19713,1166.7,10,0.800000011920929,c(37.19713, 1.348136)
2024-06-13 04:49:25,1.348136,37.197131,1166.7,9,0.800000011920929,c(37.197131, 1.348136)
2024-06-13 04:49:28,1.348138,37.197135,1166.7,10,0.800000011920929,c(37.197135, 1.348138)
2024-06-13 04:49:31,1.348135,37.197133,1166.9,9,0.800000011920929,c(37.197133, 1.348135)
2024-06-13 04:49:34,1.348133,37.19714,1166.9,10,0.800000011920929,c(37.19714, 1.348133)
2024-06-13 04:49:37,1.348131,37.197141,1167,9,0.800000011920929,c(37.197141, 1.348131)
2024-06-13 04:49:40,1.348138,37.197141,1167,9,0.800000011920929,c(37.197141, 1.348138)
2024-06-13 04:49:43,1.348148,37.197136,1167,9,0.800000011920929,c(37.197136, 1.348148)
2024-06-13 04:49:46,1.348146,37.197138,1166.9,10,0.800000011920929,c(37.197138, 1.348146)
2024-06-13 04:49:49,1.348146,37.197138,1166.9,9,0.800000011920929,c(37.197138, 1.348146)
2024-06-13 04:49:52,1.348146,37.197136,1166.9,9,0.800000011920929,c(37.197136, 1.348146)
2024-06-13 04:49:55,1.348148,37.197148,1166.8,10,0.800000011920929,c(37.197148, 1.348148)
2024-06-13 04:49:58,1.348136,37.197151,1166.7,10,0.800000011920929,c(37.197151, 1.348136)
2024-06-13 04:50:01,1.348128,37.197155,1166.8,10,0.800000011920929,c(37.197155, 1.348128)
2024-06-13 04:50:04,1.348115,37.197153,1167,10,0.800000011920929,c(37.197153, 1.348115)
2024-06-13 04:50:07,1.348103,37.197155,1167.1,9,0.800000011920929,c(37.197155, 1.348103)
2024-06-13 04:50:10,1.348098,37.197153,1167.2,7,0.800000011920929,c(37.197153, 1.348098)
2024-06-13 04:50:13,1.348095,37.197151,1167.3,8,0.800000011920929,c(37.197151, 1.348095)
2024-06-13 04:50:16,1.348095,37.19715,1167.3,7,0.800000011920929,c(37.19715, 1.348095)
2024-06-13 04:50:19,1.348093,37.197148,1167.3,6,0.800000011920929,c(37.197148, 1.348093)
2024-06-13 04:50:22,1.34808,37.197148,1167,9,0.800000011920929,c(37.197148, 1.34808)
2024-06-13 04:50:25,1.348078,37.197146,1167,8,0.800000011920929,c(37.197146, 1.348078)
2024-06-13 04:50:28,1.348075,37.197146,1167,8,0.800000011920929,c(37.197146, 1.348075)
2024-06-13 04:50:31,1.348073,37.197146,1167,9,0.800000011920929,c(37.197146, 1.348073)
2024-06-13 04:50:34,1.348075,37.197145,1167,9,0.800000011920929,c(37.197145, 1.348075)
2024-06-13 04:50:37,1.348081,37.197148,1167,10,0.800000011920929,c(37.197148, 1.348081)
2024-06-13 04:50:40,1.348093,37.19715,1167.2,9,0.800000011920929,c(37.19715, 1.348093)
2024-06-13 04:50:43,1.348108,37.197141,1167.4,10,0.800000011920929,c(37.197141, 1.348108)
2024-06-13 04:50:46,1.34812,37.19714,1167.5,10,0.800000011920929,c(37.19714, 1.34812)
2024-06-13 04:50:49,1.348121,37.197133,1167.9,8,0.800000011920929,c(37.197133, 1.348121)
2024-06-13 04:50:52,1.348123,37.197121,1168,9,0.800000011920929,c(37.197121, 1.348123)
2024-06-13 04:50:55,1.348125,37.197115,1167.9,9,0.800000011920929,c(37.197115, 1.348125)
2024-06-13 04:50:58,1.348126,37.19711,1167.8,8,0.800000011920929,c(37.19711, 1.348126)
2024-06-13 04:51:01,1.348128,37.197106,1167.9,9,0.800000011920929,c(37.197106, 1.348128)
2024-06-13 04:51:04,1.348135,37.197111,1168,9,0.800000011920929,c(37.197111, 1.348135)
2024-06-13 04:51:07,1.348135,37.197133,1168.1,10,0.800000011920929,c(37.197133, 1.348135)
2024-06-13 04:51:10,1.34814,37.19716,1168.4,10,0.800000011920929,c(37.19716, 1.34814)
2024-06-13 04:51:13,1.348143,37.197163,1168.4,9,0.800000011920929,c(37.197163, 1.348143)
2024-06-13 04:51:16,1.348148,37.197166,1168.3,10,0.800000011920929,c(37.197166, 1.348148)
2024-06-13 04:51:19,1.348145,37.197165,1168.5,10,0.800000011920929,c(37.197165, 1.348145)
2024-06-13 04:51:22,1.348141,37.197151,1168.5,10,0.800000011920929,c(37.197151, 1.348141)
2024-06-13 04:51:25,1.348146,37.197146,1168.5,10,0.800000011920929,c(37.197146, 1.348146)
2024-06-13 04:51:28,1.348148,37.197146,1168.6,9,0.800000011920929,c(37.197146, 1.348148)
2024-06-13 04:51:31,1.348146,37.197141,1168.6,10,0.800000011920929,c(37.197141, 1.348146)
2024-06-13 04:51:34,1.348146,37.197133,1168.7,9,0.800000011920929,c(37.197133, 1.348146)
2024-06-13 04:51:37,1.34815,37.197136,1168.7,9,0.800000011920929,c(37.197136, 1.34815)
2024-06-13 04:51:40,1.348151,37.19714,1168.8,9,0.800000011920929,c(37.19714, 1.348151)
2024-06-13 04:51:43,1.348151,37.19714,1168.8,8,0.800000011920929,c(37.19714, 1.348151)
2024-06-13 04:51:46,1.348151,37.197136,1168.8,10,0.800000011920929,c(37.197136, 1.348151)
2024-06-13 04:51:49,1.348153,37.197136,1168.8,9,0.800000011920929,c(37.197136, 1.348153)
2024-06-13 04:51:52,1.348151,37.197138,1168.8,9,0.800000011920929,c(37.197138, 1.348151)
2024-06-13 04:51:55,1.34815,37.197138,1168.8,9,0.800000011920929,c(37.197138, 1.34815)
2024-06-13 04:51:58,1.348148,37.197136,1168.8,10,0.800000011920929,c(37.197136, 1.348148)
2024-06-13 04:52:01,1.348148,37.197133,1168.8,10,0.800000011920929,c(37.197133, 1.348148)
2024-06-13 04:52:04,1.348146,37.19713,1168.8,10,0.800000011920929,c(37.19713, 1.348146)
2024-06-13 04:52:07,1.348145,37.197138,1168.7,10,0.800000011920929,c(37.197138, 1.348145)
2024-06-13 04:52:10,1.348145,37.197143,1168.5,10,0.800000011920929,c(37.197143, 1.348145)
2024-06-13 04:52:13,1.348148,37.19714,1168.4,10,0.800000011920929,c(37.19714, 1.348148)
2024-06-13 04:52:16,1.348148,37.197136,1168.4,10,0.800000011920929,c(37.197136, 1.348148)
2024-06-13 04:52:19,1.348153,37.197121,1168.4,10,0.800000011920929,c(37.197121, 1.348153)
2024-06-13 04:52:22,1.348148,37.19712,1168.2,9,0.800000011920929,c(37.19712, 1.348148)
2024-06-13 04:52:25,1.348146,37.197118,1168.1,9,0.800000011920929,c(37.197118, 1.348146)
2024-06-13 04:52:28,1.348146,37.197118,1168.1,9,0.800000011920929,c(37.197118, 1.348146)
2024-06-13 04:52:31,1.348145,37.197118,1168.1,7,0.800000011920929,c(37.197118, 1.348145)
2024-06-13 04:52:34,1.348143,37.197116,1168.1,7,0.800000011920929,c(37.197116, 1.348143)
2024-06-13 04:52:37,1.34814,37.197116,1168.1,10,0.800000011920929,c(37.197116, 1.34814)
2024-06-13 04:52:40,1.348135,37.197118,1168.1,9,0.800000011920929,c(37.197118, 1.348135)
2024-06-13 04:52:43,1.348133,37.19712,1168.2,9,0.800000011920929,c(37.19712, 1.348133)
2024-06-13 04:52:46,1.348133,37.197118,1168.2,8,0.800000011920929,c(37.197118, 1.348133)
2024-06-13 04:52:49,1.348138,37.197116,1168.1,9,0.800000011920929,c(37.197116, 1.348138)
2024-06-13 04:52:52,1.348141,37.197116,1168.1,9,0.800000011920929,c(37.197116, 1.348141)
2024-06-13 04:52:55,1.348141,37.197115,1168.1,9,0.800000011920929,c(37.197115, 1.348141)
2024-06-13 04:52:58,1.348141,37.197111,1168.1,9,0.800000011920929,c(37.197111, 1.348141)
2024-06-13 04:53:01,1.348143,37.197111,1168.1,8,0.800000011920929,c(37.197111, 1.348143)
2024-06-13 04:53:04,1.348143,37.197111,1168.1,9,0.800000011920929,c(37.197111, 1.348143)
2024-06-13 04:53:07,1.348143,37.197111,1168.1,9,0.800000011920929,c(37.197111, 1.348143)
2024-06-13 04:53:10,1.348141,37.197111,1168.1,9,0.800000011920929,c(37.197111, 1.348141)
2024-06-13 04:53:13,1.348141,37.197113,1168.1,9,0.800000011920929,c(37.197113, 1.348141)
2024-06-13 04:53:16,1.348143,37.197113,1168.1,10,0.800000011920929,c(37.197113, 1.348143)
2024-06-13 04:53:19,1.348141,37.197113,1168.1,9,0.800000011920929,c(37.197113, 1.348141)
2024-06-13 04:53:22,1.34814,37.197113,1168.1,9,0.800000011920929,c(37.197113, 1.34814)
