"Time","lat","lon","elevation","satellites","hdop","geometry"
2024-05-21 05:22:03,1.646306,37.384326,663.6,11,1.10000002384186,c(37.384326, 1.646306)
2024-05-21 05:22:06,1.646333,37.384266,665.3,11,1.10000002384186,c(37.384266, 1.646333)
2024-05-21 05:22:09,1.646355,37.384231,670.1,10,1.10000002384186,c(37.384231, 1.646355)
2024-05-21 05:22:12,1.646358,37.384198,670,10,1.10000002384186,c(37.384198, 1.646358)
2024-05-21 05:22:15,1.646371,37.38418,672.8,11,1.10000002384186,c(37.38418, 1.646371)
2024-05-21 05:22:18,1.646366,37.384163,673.9,11,1.10000002384186,c(37.384163, 1.646366)
2024-05-21 05:22:21,1.646378,37.384121,678.8,11,1.10000002384186,c(37.384121, 1.646378)
2024-05-21 05:22:24,1.646383,37.38407,678.9,10,1.10000002384186,c(37.38407, 1.646383)
2024-05-21 05:22:27,1.646401,37.384078,673.4,11,1,c(37.384078, 1.646401)
2024-05-21 05:22:30,1.646436,37.384083,673.7,11,1,c(37.384083, 1.646436)
2024-05-21 05:22:33,1.646455,37.384096,673.7,11,1,c(37.384096, 1.646455)
2024-05-21 05:22:36,1.64648,37.3841,673.4,11,1,c(37.3841, 1.64648)
2024-05-21 05:22:39,1.646498,37.384116,674.5,11,1,c(37.384116, 1.646498)
2024-05-21 05:22:42,1.646473,37.384128,674.8,11,1,c(37.384128, 1.646473)
2024-05-21 05:22:45,1.646445,37.384148,675,11,1,c(37.384148, 1.646445)
2024-05-21 05:22:48,1.646421,37.384166,675.2,11,1,c(37.384166, 1.646421)
2024-05-21 05:22:51,1.646398,37.384165,675.3,9,1,c(37.384165, 1.646398)
2024-05-21 05:22:54,1.646396,37.384166,674.8,11,1,c(37.384166, 1.646396)
2024-05-21 05:22:57,1.646363,37.384211,674.3,11,1,c(37.384211, 1.646363)
2024-05-21 05:23:00,1.646338,37.384276,674.2,11,1,c(37.384276, 1.646338)
2024-05-21 05:23:03,1.64632,37.38431,674,11,1,c(37.38431, 1.64632)
2024-05-21 05:23:06,1.646308,37.384316,673.5,10,1,c(37.384316, 1.646308)
2024-05-21 05:23:09,1.646296,37.384308,673.2,10,1,c(37.384308, 1.646296)
2024-05-21 05:23:12,1.646295,37.384308,673.2,11,1,c(37.384308, 1.646295)
2024-05-21 05:23:15,1.646296,37.384306,673.1,11,1,c(37.384306, 1.646296)
2024-05-21 05:23:18,1.6463,37.384305,673.1,11,1,c(37.384305, 1.6463)
2024-05-21 05:23:21,1.646301,37.384306,673,11,1,c(37.384306, 1.646301)
2024-05-21 05:23:24,1.646305,37.384303,673,9,1,c(37.384303, 1.646305)
2024-05-21 05:23:27,1.64631,37.384301,673,11,1,c(37.384301, 1.64631)
2024-05-21 05:23:30,1.646313,37.384301,673,9,1,c(37.384301, 1.646313)
2024-05-21 05:23:33,1.646311,37.384305,673,8,0.899999976158142,c(37.384305, 1.646311)
2024-05-21 05:23:36,1.646311,37.384306,673,10,0.899999976158142,c(37.384306, 1.646311)
2024-05-21 05:23:39,1.64631,37.38431,673.1,10,0.899999976158142,c(37.38431, 1.64631)
2024-05-21 05:23:42,1.646308,37.384311,673.1,9,0.899999976158142,c(37.384311, 1.646308)
2024-05-21 05:23:45,1.646306,37.384313,673.1,9,0.899999976158142,c(37.384313, 1.646306)
2024-05-21 05:23:48,1.646305,37.384313,673,10,0.899999976158142,c(37.384313, 1.646305)
2024-05-21 05:23:51,1.646305,37.384311,673,10,0.800000011920929,c(37.384311, 1.646305)
2024-05-21 05:23:54,1.646305,37.384311,673.1,10,0.800000011920929,c(37.384311, 1.646305)
2024-05-21 05:23:57,1.646305,37.384311,673.1,10,0.800000011920929,c(37.384311, 1.646305)
2024-05-21 05:24:00,1.646306,37.384311,673.1,10,0.800000011920929,c(37.384311, 1.646306)
