"Time","lat","lon","elevation","satellites","hdop","geometry"
2024-06-08 08:24:08,1.289386,36.897266,1250.4,10,1.5,c(36.897266, 1.289386)
2024-06-08 08:24:11,1.289375,36.897258,1252.5,9,1.5,c(36.897258, 1.289375)
2024-06-08 08:24:14,1.289356,36.897278,1249.5,10,1.5,c(36.897278, 1.289356)
2024-06-08 08:24:17,1.28942,36.897205,1284.6,9,1.5,c(36.897205, 1.28942)
2024-06-08 08:24:20,1.289378,36.89722,1293.4,6,1.39999997615814,c(36.89722, 1.289378)
2024-06-08 08:24:23,1.289366,36.89721,1287.6,10,1.39999997615814,c(36.89721, 1.289366)
2024-06-08 08:24:26,1.289365,36.897235,1281,10,1.39999997615814,c(36.897235, 1.289365)
2024-06-08 08:24:29,1.289348,36.897235,1283.3,10,1.39999997615814,c(36.897235, 1.289348)
2024-06-08 08:24:32,1.28934,36.897251,1291.8,10,0.899999976158142,c(36.897251, 1.28934)
2024-06-08 08:24:35,1.28931,36.89725,1289,10,0.899999976158142,c(36.89725, 1.28931)
2024-06-08 08:24:38,1.289305,36.897268,1288.6,9,0.899999976158142,c(36.897268, 1.289305)
2024-06-08 08:24:41,1.289311,36.897285,1287.8,10,0.899999976158142,c(36.897285, 1.289311)
2024-06-08 08:24:44,1.289326,36.897286,1286.7,10,0.899999976158142,c(36.897286, 1.289326)
2024-06-08 08:24:47,1.289338,36.897288,1286,9,1.10000002384186,c(36.897288, 1.289338)
2024-06-08 08:24:50,1.289333,36.897291,1285.3,10,0.899999976158142,c(36.897291, 1.289333)
2024-06-08 08:24:53,1.289321,36.89729,1284.8,11,0.899999976158142,c(36.89729, 1.289321)
2024-06-08 08:24:56,1.2893,36.89728,1283.8,11,0.899999976158142,c(36.89728, 1.2893)
2024-06-08 08:24:59,1.289286,36.897266,1283.2,11,0.899999976158142,c(36.897266, 1.289286)
2024-06-08 08:25:02,1.289283,36.897261,1283,10,0.899999976158142,c(36.897261, 1.289283)
2024-06-08 08:25:05,1.289276,36.897256,1282.7,11,0.899999976158142,c(36.897256, 1.289276)
2024-06-08 08:25:08,1.289275,36.897255,1282.8,11,0.899999976158142,c(36.897255, 1.289275)
2024-06-08 08:25:11,1.289276,36.897255,1282.7,10,0.899999976158142,c(36.897255, 1.289276)
2024-06-08 08:25:14,1.289278,36.897256,1282.7,10,1.10000002384186,c(36.897256, 1.289278)
2024-06-08 08:25:17,1.289271,36.897253,1282.9,11,0.899999976158142,c(36.897253, 1.289271)
2024-06-08 08:25:20,1.289271,36.897243,1283.2,11,0.899999976158142,c(36.897243, 1.289271)
2024-06-08 08:25:23,1.289276,36.897233,1283.3,11,0.899999976158142,c(36.897233, 1.289276)
2024-06-08 08:25:26,1.289283,36.897218,1283.3,11,0.899999976158142,c(36.897218, 1.289283)
2024-06-08 08:25:29,1.289278,36.897201,1283.4,11,0.899999976158142,c(36.897201, 1.289278)
2024-06-08 08:25:32,1.289271,36.89719,1283.4,11,0.800000011920929,c(36.89719, 1.289271)
2024-06-08 08:25:35,1.28927,36.897201,1283.3,11,0.800000011920929,c(36.897201, 1.28927)
2024-06-08 08:25:38,1.289265,36.897213,1283.2,10,0.800000011920929,c(36.897213, 1.289265)
2024-06-08 08:25:41,1.289253,36.897215,1283.2,11,0.800000011920929,c(36.897215, 1.289253)
2024-06-08 08:25:44,1.289253,36.897198,1283.2,10,0.800000011920929,c(36.897198, 1.289253)
2024-06-08 08:25:47,1.289251,36.897178,1283.1,11,0.800000011920929,c(36.897178, 1.289251)
2024-06-08 08:25:50,1.289241,36.897165,1283.1,11,0.800000011920929,c(36.897165, 1.289241)
2024-06-08 08:25:53,1.289238,36.897161,1283,10,0.800000011920929,c(36.897161, 1.289238)
2024-06-08 08:25:56,1.289231,36.897158,1282.9,11,0.800000011920929,c(36.897158, 1.289231)
2024-06-08 08:25:59,1.289216,36.89715,1282.9,11,0.800000011920929,c(36.89715, 1.289216)
2024-06-08 08:26:02,1.289198,36.897143,1283,10,0.800000011920929,c(36.897143, 1.289198)
2024-06-08 08:26:05,1.289185,36.897131,1282.9,10,0.800000011920929,c(36.897131, 1.289185)
2024-06-08 08:26:08,1.289176,36.897125,1282.9,10,0.800000011920929,c(36.897125, 1.289176)
2024-06-08 08:26:11,1.289146,36.897105,1282.8,10,0.800000011920929,c(36.897105, 1.289146)
2024-06-08 08:26:14,1.289126,36.897085,1282.9,10,0.800000011920929,c(36.897085, 1.289126)
2024-06-08 08:26:17,1.289116,36.897068,1282.8,10,0.800000011920929,c(36.897068, 1.289116)
2024-06-08 08:26:20,1.289115,36.897056,1282.8,10,0.800000011920929,c(36.897056, 1.289115)
2024-06-08 08:26:23,1.289125,36.897033,1282.7,11,0.800000011920929,c(36.897033, 1.289125)
2024-06-08 08:26:26,1.289126,36.897008,1282.4,11,0.800000011920929,c(36.897008, 1.289126)
2024-06-08 08:26:29,1.289126,36.896971,1282.3,11,0.800000011920929,c(36.896971, 1.289126)
2024-06-08 08:26:32,1.289125,36.896958,1282.2,9,0.800000011920929,c(36.896958, 1.289125)
2024-06-08 08:26:35,1.289123,36.896956,1282.2,11,0.800000011920929,c(36.896956, 1.289123)
2024-06-08 08:26:38,1.289118,36.896941,1282.2,11,0.800000011920929,c(36.896941, 1.289118)
2024-06-08 08:26:41,1.2891,36.896933,1282.2,11,0.800000011920929,c(36.896933, 1.2891)
